Places_Name,Location Photo,Google Maps link,Places_Latitude,Places_Longitude,Places_Address,Places_City,Places_PostalCode,Opening times,Services,Dogs allowed,Fully Wheelchair Accessible,Partially Wheelchair Accessible,Toilets available,Wheelchair Friendly Toilet,Wifi available
De Portiersloge,https://lh5.googleusercontent.com/p/AF1QipNWOMDXuIOuMLV5yn9xnZE77P_TxGtHLSY68wwf=w408-h272-k-no,"https://www.google.com/maps/search/?api=1&query=51.445036,5.461945",51.445036,5.461945,Torenallee 1,Eindhoven,5617BD,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Toilets available",False,True,False,True,False,False
Donna,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/sq-donna-stills0007_1693984924.jpeg,"https://www.google.com/maps/search/?api=1&query=51.447859,5.458478",51.447859,5.458478,Philitelaan 57,Eindhoven,5617AK,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Partially Wheelchair Accessible
Wifi available
Toilets available
Dogs allowed",True,False,True,True,False,True
Foundation We Are,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=t2vL9nJGNjDBAkActURutA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.31589&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.446653,5.458936",51.446653,5.458936,Torenallee 22-04,Eindhoven,5617BD,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Toilets available
Dogs allowed",True,True,False,True,True,False
Kantoor STRP,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uzhfnb1iO0AsjZIH5rozoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=48.188705&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.446641,5.457719",51.446641,5.457719,Torenallee 32/8,Eindhoven,5617BD,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Toilets available",False,True,False,True,False,False
Ketelhuisplein,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/20221022-ketelhuisplein-maxkneefel-90961-klein_1695030509.png,"https://www.google.com/maps/search/?api=1&query=51.447774,5.457016",51.447774,5.457016,Ketelhuisplein,Eindhoven,5617AE,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Partially Wheelchair Accessible
Wheelchair Friendly Toilet
Toilets available",False,False,True,True,True,False
Klokgebouw,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/strijps-klokgebouw-cleogoossens-klein-30102022-01_1695030332.png,"https://www.google.com/maps/search/?api=1&query=51.448446,5.457651",51.448446,5.457651,Klokgebouw 50,Eindhoven,5617AB,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available",False,True,False,True,True,True
MICROLAB,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6btFnEHSJ9wquRvdVqycXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.32083&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.444411,5.459976",51.444411,5.459976,KASTANJELAAN 400,Eindhoven,5616LZ,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available
Dogs allowed",True,True,False,True,True,True
Microlab Hall,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/dda-foto-locatiepagina_1693815546.jpg,"https://www.google.com/maps/search/?api=1&query=51.444709,5.461129",51.444709,5.461129,Kastanjelaan 400,Eindhoven,5616LZ,"Opening times

Sat 21 Oct

10:00 - 18:00

Sun 22 Oct

10:00 - 18:00

Mon 23 Oct

10:00 - 18:00

Tue 24 Oct

10:00 - 18:00

Wed 25 Oct

10:00 - 18:00

Thu 26 Oct

10:00 - 19:00

Fri 27 Oct

10:00 - 18:00

Sat 28 Oct

10:00 - 18:00

Sun 29 Oct

10:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Toilets available",False,True,False,True,True,False
MU container,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8_hc0PnGalB9MQXyvEasgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.27322&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.447191,5.457849",51.447191,5.457849,leidingstraat,Eindhoven,5617AJ,"Opening times

Sat 21 Oct

12:00 - 17:00

Sun 22 Oct

12:00 - 17:00

Mon 23 Oct

12:00 - 17:00

Tue 24 Oct

Closed

Wed 25 Oct

Closed

Thu 26 Oct

Closed

Fri 27 Oct

Closed

Sat 28 Oct

Closed

Sun 29 Oct

Closed","Services
Partially Wheelchair Accessible",False,False,True,False,False,False
MU Hybrid Art House,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WmBn1CeMo-OxVEqb6Uh0Vg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=13.077681&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.447138,5.457408",51.447138,5.457408,Torenallee 40-06,Eindhoven,5617BD,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Partially Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available
Dogs allowed",True,False,True,True,True,True
Natlab,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wWRJUdSzJea-ejlc06NTMg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.63769&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.445748,5.454355",51.445748,5.454355,Kastanjelaan 500,Eindhoven,5616LZ,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available",False,True,False,True,True,True
New Order of Fashion LAB,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EPBiOh12C6wEDYISD7-wOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.63631&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.446443,5.458349",51.446443,5.458349,Torenallee 22-06,Eindhoven,5617BD,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Toilets available",False,True,False,True,True,False
Onder de leidingen,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uzhfnb1iO0AsjZIH5rozoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=48.188705&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.446663,5.45883",51.446663,5.45883,Torenallee 22-04,Eindhoven,5617BD,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available
Dogs allowed",True,True,False,True,True,True
Plug in City,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/c_1693583177.jpg,"https://www.google.com/maps/search/?api=1&query=51.447283,5.457783",51.447283,5.457783,Leidingstraat 17A,Eindhoven,5617AJ,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Not Wheelchair Accessible
Wifi available",False,False,False,False,False,True
Plug-In-Paviljoen,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/plug-in-city-533364405-3577608261_1695390287.webp,"https://www.google.com/maps/search/?api=1&query=51.447283,5.457783",51.447283,5.457783,Leidingstraat 17A,Eindhoven,5617AJ,"Opening times

Sat 21 Oct

11:00 - 23:00

Sun 22 Oct

12:30 - 17:00

Mon 23 Oct

12:30 - 17:00

Tue 24 Oct

12:30 - 17:00

Wed 25 Oct

11:00 - 19:00

Thu 26 Oct

09:00 - 18:00

Fri 27 Oct

08:30 - 21:00

Sat 28 Oct

23:00 - 23:00

Sun 29 Oct

12:30 - 17:00","Services
Partially Wheelchair Accessible
Wifi available
Toilets available
Dogs allowed",True,False,True,True,False,True
POPEI,https://lh5.googleusercontent.com/p/AF1QipOKFOpogPnMZRDQGiPR_uIxzwHNlJJtWjcP9po2=w408-h304-k-no,"https://www.google.com/maps/search/?api=1&query=51.449455,5.457447",51.449455,5.457447,Klokgebouw,Eindhoven,5617AD,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Partially Wheelchair Accessible
Wifi available
Toilets available
Dogs allowed",True,False,True,True,False,True
Rabauw Brewpub,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mzkj75fM84Nb4Ldgy0aEUw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.80635&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.446368,5.456731",51.446368,5.456731,Torenallee 55,Eindhoven,5651GW,"Opening times

Sat 21 Oct

12:00 - 23:00

Sun 22 Oct

12:00 - 23:00

Mon 23 Oct

12:00 - 23:00

Tue 24 Oct

12:00 - 23:00

Wed 25 Oct

12:00 - 23:00

Thu 26 Oct

12:00 - 23:00

Fri 27 Oct

12:00 - 23:00

Sat 28 Oct

12:00 - 23:00

Sun 29 Oct

12:00 - 23:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available
Dogs allowed",True,True,False,True,True,True
SintLucas,https://lh5.googleusercontent.com/p/AF1QipNIsSXzOdi4ELB-fJjw-O3GAJlV-ESf2xCptIvb=w408-h544-k-no,"https://www.google.com/maps/search/?api=1&query=51.447037,5.454748",51.447037,5.454748,Torenallee 75,Eindhoven,5617BD,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available",False,True,False,True,True,True
The Cohesion LUX,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yANKIkUSDkvloGFf_RJikQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=94.65946&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.446217,5.46072",51.446217,5.46072,Philitelaan 67,Eindhoven,5617AM,"Opening times

Sat 21 Oct

Closed

Sun 22 Oct

Closed

Mon 23 Oct

Closed

Tue 24 Oct

Closed

Wed 25 Oct

Closed

Thu 26 Oct

Closed

Fri 27 Oct

Closed

Sat 28 Oct

Closed

Sun 29 Oct

Closed","Services
Fully Wheelchair Accessible
Wifi available
Toilets available
Dogs allowed",True,True,False,True,False,True
The New Block,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jfCz7Ah4BIa1RSDGoqXIIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.68971&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.44454,5.46142",51.44454,5.46142,Kastanjelaan 300,Eindhoven,5651GW,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Toilets available",False,True,False,True,False,False
VEEM floor 8,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/veem_1693640687.JPG,"https://www.google.com/maps/search/?api=1&query=51.447846,5.454461",51.447846,5.454461,Torenallee 100,Eindhoven,5617BE,"Opening times

Sat 21 Oct

11:00 - 18:30

Sun 22 Oct

11:00 - 18:30

Mon 23 Oct

11:00 - 18:30

Tue 24 Oct

11:00 - 18:30

Wed 25 Oct

11:00 - 19:00

Thu 26 Oct

11:00 - 18:30

Fri 27 Oct

11:00 - 18:30

Sat 28 Oct

11:00 - 18:30

Sun 29 Oct

11:00 - 18:30","Services
Fully Wheelchair Accessible",False,True,False,False,False,False
about.today,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MU-9VCCCC0paUzSM9lpG5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.46133&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.449181,5.446202",51.449181,5.446202,Halvemaanstraat 20,Eindhoven,5651BP,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Wheelchair Friendly Toilet
Wifi available
Toilets available
Dogs allowed",True,True,False,True,True,True
ATWORK,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QnlF297s4wjicL4pXK8FxQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=244.07735&pitch=0&thumbfov=100,"https://www.google.com/maps/search/?api=1&query=51.452189,5.451684",51.452189,5.451684,Achtsewegzuid 161E,Eindhoven,5651GW,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Fully Wheelchair Accessible
Toilets available
Dogs allowed",True,True,False,True,False,False
Basement Strijp-T,https://lh5.googleusercontent.com/p/AF1QipMwSmyHVSushCxCOFA92zG1c2UPs8GFi0kJcdwn=w408-h306-k-no,"https://www.google.com/maps/search/?api=1&query=,",51.450583,5.453788,Achtseweg Zuid 151,Eindhoven,5651GW,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Partially Wheelchair Accessible",False,False,True,False,False,False
BioArt Laboratories,https://ddw.ams3.cdn.digitaloceanspaces.com/uploads/websiteddw3_1695723170.jpg,"https://www.google.com/maps/search/?api=1&query=51.46344,5.428596",51.46344,5.428596,Oirschotsedijk 14-10,Eindhoven,5651GC,"Opening times

Sat 21 Oct

11:00 - 18:00

Sun 22 Oct

11:00 - 18:00

Mon 23 Oct

11:00 - 18:00

Tue 24 Oct

11:00 - 18:00

Wed 25 Oct

11:00 - 18:00

Thu 26 Oct

11:00 - 18:00

Fri 27 Oct

11:00 - 18:00

Sat 28 Oct

11:00 - 18:00

Sun 29 Oct

11:00 - 18:00","Services
Not Wheelchair Accessible
Toilets available",False,False,False,True,False,False
